100.00,,,,Init_No_Stages,Lat_length,Spacing,Initial Prod of 30 days (average BOPD),Initial Prod of 90 days (average BOPD),,,,,,,,,
11.60,,,,1,8737,1280,163,150,,,,,,,,,
330.00,,,,,,,,,,,,,,,,,
1670.00,,,,,,,,,,,,,,,,,
0.04,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,6,9,4,,,,,,,,,,,,
,,,8,6,5,,,,,,,,,,,,
,,,o,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Well ID,,,,,,Init_No_Stages,Lat_length,Spacing,Porosity MB,TVT_MB (depth - ft),Initial water Saturation (3F),NTG_MB (net to gross),Pressure_MB,Depth_MB,Average Injection Pressure (psig),Total Fluid Injected,lbs sand
768,100.00,11.60,330.00,1670.00,0.04,1,8737,1280,0.06,58.82,0.42,0.4974,6124.33,9677.84,5845,15984.14286,291406
81,72.37,51.26,21.00,157.05,0.18,1,9370,1280,0.06,59.52,0.44,0.4918,6104.98,9695.59,4310,15742.2619,281630
804,410.00,5.00,300.00,2000.00,0.04,32,0,1280,0.07,71.99,0.36,0.3488,6985.13,10269.42,0,0,0
82,75.14,20.57,403.60,1000.94,0.04,1,9296,1280,0.06,59.75,0.41,0.5119,6165.71,9707.85,4466,16886,300747
79,166.77,17.66,303.60,1026.94,0.04,10,0,1280,0.07,52.07,0.47,0.7625,6150.22,9784,5897.328665,16933.69048,1174193
75,190.00,6.66,440.00,1026.94,0.04,10,0,1280,0.07,50.35,0.45,0.3086,6304.97,9895.38,6040,17326.64286,1188540
74,115.00,10.00,246.00,1770.00,0.04,1,8988,1280,0.07,51.29,0.49,0.7645,6204.82,9767.43,4491,17793.57143,324516
78,90.00,7.00,400.00,1100.00,0.04,1,8934,1280,0.06,65.24,0.49,0.4453,6217.37,9775.69,4325.07982,16546.66667,300053.5
80,26.00,34.00,430.00,700.00,0.04,1,8217,1280,0.06,65.7,0.49,0.1814,6399.29,10003.22,5080,17332,315000
715,316.00,2.00,357.00,1626.94,0.04,24,0,1280,0.06,58.83,0.26,0.5137,8046.32,10670.61,0,0,0
