username,tool,start_time
875448,alien database,3/26/2014 19:28
875448,solar system,3/26/2014 19:28
875448,notebook,3/26/2014 20:07
875448,solar system,3/26/2014 20:07
875448,alien database,3/27/2014 19:26
875448,solar system,3/27/2014 19:26
875448,probe design,3/27/2014 19:38
875448,probe launch,3/27/2014 19:45
875448,probe design,3/27/2014 19:46
875448,probe launch,3/27/2014 19:46
875448,probe design,3/27/2014 19:47
875448,probe launch,3/27/2014 19:47
875448,mission control,3/27/2014 19:48
875448,mission control,3/27/2014 19:50
875448,probe launch,3/27/2014 19:50
875448,mission control,3/27/2014 19:50
875448,probe design,3/27/2014 19:51
875448,probe design,3/27/2014 19:55
875448,probe launch,3/27/2014 19:56
875448,probe launch,3/27/2014 19:56
875448,probe design,3/27/2014 19:56
875448,probe launch,3/27/2014 19:57
875448,mission control,3/27/2014 19:57
875448,probe design,3/27/2014 20:03
875448,probe design,3/27/2014 20:06
875448,probe design,3/28/2014 19:29
875448,probe launch,3/28/2014 19:35
875448,mission control,3/28/2014 19:35
875448,mission control,3/28/2014 19:45
875448,probe design,3/28/2014 19:45
875448,probe launch,3/28/2014 19:47
875448,mission control,3/28/2014 19:47
875448,probe design,3/28/2014 19:51
875448,probe launch,3/28/2014 19:52
875448,mission control,3/28/2014 19:52
875448,probe design,3/28/2014 19:53
875448,probe launch,3/28/2014 19:55
875448,mission control,3/28/2014 19:55
875448,probe design,3/28/2014 19:56
875448,solar system,3/31/2014 19:30
875448,alien database,3/31/2014 19:30
875448,solar system,3/31/2014 19:36
875448,missions,3/31/2014 19:36
875448,concepts,3/31/2014 19:36
875448,spectra,3/31/2014 19:37
875448,missions,3/31/2014 19:44
875448,missions,3/31/2014 19:45
875448,probe design,3/31/2014 19:47
875448,probe design,3/31/2014 19:47
875448,probe design,3/31/2014 19:48
875448,mission control,3/31/2014 19:48
875448,solar system,3/31/2014 19:53
875448,concepts,3/31/2014 19:53
875448,alien database,3/31/2014 19:54
875448,spectra,3/31/2014 19:57
875448,alien database,4/1/2014 19:38
875448,alien database,4/1/2014 20:04
875448,alien database,4/2/2014 19:34
875448,solar system,4/2/2014 19:37
875448,concepts,4/3/2014 19:38
875448,probe design,4/3/2014 19:50
875448,alien database,4/3/2014 19:52
875448,probe design,4/3/2014 19:52
875448,alien database,4/3/2014 19:55
875448,solar system,4/3/2014 20:07
875448,alien database,4/4/2014 19:58
875448,solar system,4/4/2014 19:59
#swagpalomas02,probe launch,3/17/2014 14:45
#swagpalomas02,concepts,3/17/2014 14:45
#swagpalomas02,mission control,3/17/2014 14:52
#swagpalomas02,mission control,3/17/2014 14:53
#swagpalomas02,probe design,3/17/2014 14:53
#swagpalomas02,mission control,3/18/2014 14:41
#swagpalomas02,mission control,3/18/2014 14:41
#swagpalomas02,probe launch,3/18/2014 14:41
#swagpalomas02,mission control,3/18/2014 14:42
#swagpalomas02,alien database,3/18/2014 14:42
#swagpalomas02,probe design,3/18/2014 14:43
#swagpalomas02,probe design,3/18/2014 14:43
#swagpalomas02,probe launch,3/18/2014 14:47
#swagpalomas02,mission control,3/18/2014 14:51
#swagpalomas02,probe design,3/18/2014 14:52
#swagpalomas02,probe launch,3/18/2014 14:53
#swagpalomas02,mission control,3/20/2014 14:13
#swagpalomas02,notebook,3/20/2014 14:14
#swagpalomas02,solar system,3/20/2014 14:14
#swagpalomas02,missions,3/20/2014 14:14
#swagpalomas02,concepts,3/20/2014 14:14
#swagpalomas02,periodic table,3/20/2014 14:14
#swagpalomas02,spectra,3/20/2014 14:14
#swagpalomas02,alien database,3/20/2014 14:16
#swagpalomas02,probe design,3/20/2014 14:19
#swagpalomas02,probe launch,3/20/2014 14:21
#swagpalomas02,mission control,3/20/2014 14:21
#swagpalomas02,solar system,3/20/2014 14:22
#swagpalomas02,alien database,3/20/2014 14:24
#swagpalomas02,solar system,3/20/2014 14:52
#swagpalomas02,solar system,3/20/2014 14:53
#swagpalomas02,probe design,3/20/2014 14:54
#swagpalomas02,probe design,3/21/2014 14:13
#swagpalomas02,probe launch,3/21/2014 14:15
#swagpalomas02,probe launch,3/21/2014 14:15
#swagpalomas02,mission control,3/21/2014 14:16
#swagpalomas02,alien database,3/21/2014 14:16
#swagpalomas02,notebook,3/21/2014 14:18
#swagpalomas02,solar system,3/21/2014 14:19
#swagpalomas02,probe design,3/21/2014 14:22
#swagpalomas02,probe launch,3/21/2014 14:24
#swagpalomas02,spectra,3/21/2014 14:26
#swagpalomas02,alien database,3/21/2014 14:27
