username,tool,start_time,end_time,duration
susan_test,concepts,3/7/14 21:13,3/7/14 21:13,8.662698
susan_test,alien database,3/18/14 18:24,3/18/14 18:24,9.428711
susan_test,notebook,3/18/14 18:25,3/18/14 18:25,4.242868
susan_test,notebook,3/18/14 19:31,3/18/14 19:31,2.879784
susan_test,notebook,3/18/14 19:40,3/18/14 19:41,71.973423
susan_test,solar system,3/18/14 19:42,3/18/14 19:42,0.710315
susan_test,alien database,3/31/14 14:25,3/31/14 14:25,23.674003
michael_lovell,alien database,3/18/14 14:45,3/18/14 14:48,145.91597
michael_lovell,notebook,3/18/14 14:46,3/18/14 14:48,85.928195
michael_lovell,solar system,3/18/14 14:46,3/18/14 14:47,60.888236
michael_lovell,alien database,3/18/14 14:48,3/18/14 15:17,1726.463476
michael_lovell,concepts,3/18/14 14:48,3/18/14 14:49,47.822011
michael_lovell,periodic table,3/18/14 14:48,3/18/14 14:48,6.245274
michael_lovell,notebook,3/18/14 14:49,3/18/14 14:49,2.376967
michael_lovell,notebook,3/18/14 14:51,3/18/14 14:51,30.798531
michael_lovell,solar system,3/18/14 14:51,3/18/14 14:52,26.987173
michael_lovell,missions,3/18/14 14:51,3/18/14 14:51,19.759531
michael_lovell,concepts,3/18/14 14:51,3/18/14 14:51,10.216702
michael_lovell,periodic table,3/18/14 14:51,3/18/14 14:51,5.711457
michael_lovell,spectra,3/18/14 14:51,3/18/14 14:51,2.762317
michael_lovell,probe design,3/18/14 14:55,3/18/14 14:55,4.695299
michael_lovell,alien database,3/18/14 15:16,3/18/14 15:17,54.571863
michael_lovell,alien database,3/20/14 14:37,3/20/14 14:45,480.635023
devyben17,probe design,3/17/14 14:43,3/17/14 14:51,503.763183
devyben17,missions,3/17/14 14:47,3/17/14 14:47,8.751045
devyben17,probe design,3/17/14 14:48,3/17/14 14:51,184.730506
devyben17,probe launch,3/17/14 14:51,3/17/14 14:51,11.498118
devyben17,mission control,3/17/14 14:52,3/17/14 14:53,43.745508
devyben17,alien database,3/17/14 14:53,3/17/14 14:54,39.384249
devyben17,probe launch,3/17/14 14:54,3/17/14 14:54,7.281463
devyben17,probe design,3/18/14 14:37,3/18/14 14:37,1.978128
devyben17,notebook,3/18/14 14:37,3/18/14 14:54,1013.035113
devyben17,alien database,3/18/14 14:38,3/18/14 14:38,28.306347
devyben17,mission control,3/18/14 14:38,3/18/14 14:39,29.67615
devyben17,mission control,3/18/14 14:39,3/18/14 14:39,2.590543
devyben17,probe design,3/18/14 14:39,3/18/14 14:43,225.57932
devyben17,mission control,3/18/14 14:44,3/18/14 14:44,3.251905
devyben17,probe launch,3/18/14 14:44,3/18/14 14:44,7.919696
devyben17,mission control,3/18/14 14:45,3/18/14 14:46,103.516685
devyben17,mission control,3/18/14 14:46,3/18/14 14:46,35.809322
devyben17,notebook,3/18/14 14:46,3/18/14 14:54,469.303051
devyben17,mission control,3/18/14 14:47,3/18/14 14:47,6.261322
devyben17,mission control,3/18/14 14:47,3/18/14 14:47,0.859492
devyben17,mission control,3/18/14 14:48,3/18/14 14:54,332.510608
devyben17,mission control,3/18/14 14:53,3/18/14 14:54,17.356263
devyben17,alien database,3/18/14 14:54,3/18/14 14:54,16.954955
devyben17,missions,3/20/14 14:12,3/20/14 14:12,3.198808
devyben17,concepts,3/20/14 14:12,3/20/14 14:12,2.039215
devyben17,mission control,3/20/14 14:12,3/20/14 14:15,152.295113
devyben17,mission control,3/20/14 14:15,3/20/14 14:15,1.780777
devyben17,alien database,3/20/14 14:15,3/20/14 14:30,925.510813
devyben17,mission control,3/20/14 14:31,3/20/14 14:31,41.130337
devyben17,missions,3/20/14 14:32,3/20/14 14:32,7.341353
devyben17,alien database,3/20/14 14:32,3/20/14 14:41,545.889184
devyben17,probe design,3/20/14 14:41,3/20/14 14:42,39.630511
devyben17,probe design,3/20/14 14:42,3/20/14 14:42,25.669234
devyben17,probe design,3/20/14 14:42,3/20/14 14:45,152.089189
devyben17,probe design,3/20/14 14:45,3/20/14 14:45,4.291239
devyben17,probe design,3/20/14 14:45,3/20/14 14:45,1.901469
devyben17,probe launch,3/20/14 14:45,3/20/14 14:45,18.031623
devyben17,mission control,3/20/14 14:46,3/20/14 14:49,174.747769
